Dimension,FunctionID,Run,Algorithm,BestSolution,BestFitness
2,0,0,DE/rand/1/bin,"[-2.2838605981868435e-09, -9.927720201290563e-10]",0.0
2,0,0,DE/best/1/bin,"[-0.985511638447712, 0.0011636033156184667]",1.0129082897061608
2,0,0,PSO,"[1.2807667098079059e-09, -1.1607397068655513e-09]",0.0
2,0,1,DE/rand/1/bin,"[-7.378196261648175e-10, -2.0654554130595285e-09]",0.0
2,0,1,DE/best/1/bin,"[-1.27499309205028e-07, 1.0442836661853392e-07]",5.3859139370615594e-12
2,0,1,PSO,"[-1.3006048953256036e-10, -9.713612782284922e-10]",0.0
2,0,2,DE/rand/1/bin,"[-2.455249908242823e-09, -1.2311780889470967e-09]",0.0
2,0,2,DE/best/1/bin,"[0.9669867380702795, 0.012761047232180184]",1.1817156906241024
2,0,2,PSO,"[8.525490260085737e-10, 2.3845729269047292e-09]",0.0
2,0,3,DE/rand/1/bin,"[0.9949586361888896, 6.039316042841172e-10]",0.9949590570932898
2,0,3,DE/best/1/bin,"[-0.9942207019681202, -0.9846928774410948]",2.0109019995021526
2,0,3,PSO,"[-6.164042285844874e-09, 6.6625235609111725e-09]",1.0658141036401503e-14
2,0,4,DE/rand/1/bin,"[2.8707486198084327e-10, 0.994958636108555]",0.9949590570932898
2,0,4,DE/best/1/bin,"[1.0260130876542803e-08, 0.9949586436572888]",0.9949590570933182
2,0,4,PSO,"[1.3336211222360196e-10, 1.6662779885825957e-09]",0.0
2,0,5,DE/rand/1/bin,"[-1.1363995359880772e-09, 2.7341280065402087e-09]",0.0
2,0,5,DE/best/1/bin,"[-3.9797779393662287, -0.9949578856693744]",16.914202856566313
2,0,5,PSO,"[-3.73804956205659e-09, 1.191074184674372e-09]",0.0
2,0,6,DE/rand/1/bin,"[-1.5428374226830692e-09, -0.994958637608361]",0.9949590570932898
2,0,6,DE/best/1/bin,"[0.009298150789111205, 0.9354227447466101]",1.7041001203175306
2,0,6,PSO,"[-2.475048039052154e-09, -8.537755183656726e-10]",0.0
2,0,7,DE/rand/1/bin,"[-3.0544371055977582e-09, 4.726085683885615e-10]",0.0
2,0,7,DE/best/1/bin,"[-0.0020016498275526977, -0.9958723396153901]",0.9959194795687125
2,0,7,PSO,"[-3.242231449022192e-10, 2.593969255670615e-09]",0.0
2,0,8,DE/rand/1/bin,"[1.16635416764811e-10, -2.902043270320489e-09]",0.0
2,0,8,DE/best/1/bin,"[-0.9114214800402197, 0.0010142791372291008]",2.340094397413761
2,0,8,PSO,"[6.852543762957723e-10, -1.8259235468724222e-09]",0.0
2,0,9,DE/rand/1/bin,"[-4.703159137313165e-11, -0.09684164561185415]",1.804165742910829
2,0,9,DE/best/1/bin,"[1.9899122325742291, -6.781689705854502e-10]",3.979831190554087
2,0,9,PSO,"[2.9272182015377697e-09, -3.519587568613814e-10]",0.0
2,0,10,DE/rand/1/bin,"[2.575944839208142e-10, -3.027606149692769e-09]",0.0
2,0,10,DE/best/1/bin,"[-0.9949751475152011, 1.989946371984792]",4.974790532446866
2,0,10,PSO,"[0.00014182276142876734, 0.024783957719702994]",4.913691195440606e-05
2,0,11,DE/rand/1/bin,"[2.655380999297434e-09, 4.639950950118649e-10]",0.0
2,0,11,DE/best/1/bin,"[0.00023471988025206922, -0.9592777192548816]",1.2457788682705981
2,0,11,PSO,"[-1.3040470754599556e-07, -2.8451529866746387e-07]",1.0444978215673473e-12
2,0,12,DE/rand/1/bin,"[-1.520604134702779e-09, 3.508932130766216e-09]",0.0
2,0,12,DE/best/1/bin,"[-0.9949576554591519, -0.9949586330925975]",1.989918114377879
2,0,12,PSO,"[4.4975204394311287e-10, 1.7792175755396731e-09]",0.0
2,0,13,DE/rand/1/bin,"[-1.2011972398000291e-09, 2.685571041239968e-09]",0.0
2,0,13,DE/best/1/bin,"[-2.0206595425791436, -0.010166643651878478]",4.18769598826707
2,0,13,PSO,"[-5.398719598232957e-08, 8.026192025666301e-09]",7.105427357601002e-15
2,0,14,DE/rand/1/bin,"[5.327752671616907e-10, 2.9487624581289587e-09]",0.0
2,0,14,DE/best/1/bin,"[0.005325449863451955, 0.023534134270039926]",0.11530744393249392
2,0,14,PSO,"[1.6726085619598509e-09, -2.546905146783805e-09]",0.0
2,0,15,DE/rand/1/bin,"[1.5809325890185485e-09, 2.0645258429063547e-09]",0.0
2,0,15,DE/best/1/bin,"[-1.9899122361901231, 1.9899122332371602]",7.959662381108174
2,0,15,PSO,"[1.0627254105794007e-09, 3.2363397715067955e-09]",0.0
2,0,16,DE/rand/1/bin,"[-1.6065493186113524e-09, -9.066216035435066e-10]",0.0
2,0,16,DE/best/1/bin,"[-3.9802381359971686, -2.9846453600025784]",24.873894389771124
2,0,16,PSO,"[0.994958636040593, -2.504223962970955e-10]",0.9949590570932898
2,0,17,DE/rand/1/bin,"[1.6555593713457235e-09, 9.385842835274926e-10]",0.0
2,0,17,DE/best/1/bin,"[-0.9949586395859299, 1.4948930640535506e-09]",0.9949590570932898
2,0,17,PSO,"[1.2905985016117664e-09, 3.2889994852023964e-09]",0.0
2,0,18,DE/rand/1/bin,"[6.716777579304359e-10, 1.6767783921920135e-10]",0.0
2,0,18,DE/best/1/bin,"[4.463055391000046e-09, 4.974691417314468]",24.873722934542364
2,0,18,PSO,"[5.642020815584028e-10, -1.2962935412761647e-09]",0.0
2,0,19,DE/rand/1/bin,"[1.8145731251015203e-09, 5.171745605759423e-10]",0.0
2,0,19,DE/best/1/bin,"[-0.9948852077317827, 0.0028429348571146146]",0.9965635439827665
2,0,19,PSO,"[1.1821997093652714e-10, -7.984153358863056e-11]",0.0
2,1,0,DE/rand/1/bin,"[7.358673912033751, -5.484046897076439]",16.812554129858622
2,1,0,DE/best/1/bin,"[-2.851907050053029, -6.535217685182439e-11]",7.1336334313162055
2,1,0,PSO,"[-1.498734953985317e-12, -8.200207281209953e-13]",4.832134692378531e-12
2,1,1,DE/rand/1/bin,"[-1.0927885691110733e-16, 1.1147119559592673e-16]",4.440892098500626e-16
2,1,1,DE/best/1/bin,"[-0.0006440063219576728, -0.04555570552859278]",0.18320023982996192
2,1,1,PSO,"[-7.669155058869028e-11, 9.761314082388429e-11]",1.939359783875716e-10
2,1,2,DE/rand/1/bin,"[-2.417940854248518e-09, 4.0]",8.640585759756158
2,1,2,DE/best/1/bin,"[-0.0002747367063941519, -2.7712352971583514e-06]",0.000779122402580601
2,1,2,PSO,"[1.2386909158917584e-14, -2.491713011830446e-14]",3.241851231905457e-14
2,1,3,DE/rand/1/bin,"[3.8320178324680285e-17, 3.09343825790194e-16]",4.440892098500626e-16
2,1,3,DE/best/1/bin,"[-100.0, -100.0]",19.99999995877693
2,1,3,PSO,"[3.580347840719939e-10, 9.098403773622274e-10]",1.6709518213531283e-09
2,1,4,DE/rand/1/bin,"[-1.038595191047431e-09, -3.365589328835995]",9.109705888577917
2,1,4,DE/best/1/bin,"[-6.409024529217855e-12, 1.7753077844183206e-12]",1.8808510304779702e-11
2,1,4,PSO,"[-100.0, -100.0]",19.99999995877693
2,1,5,DE/rand/1/bin,"[1.7807521491664176, -9.05428238361037]",15.531484813633677
2,1,5,DE/best/1/bin,"[0.0007099591281277259, -0.0010380119894726953]",0.003599089817246881
2,1,5,PSO,"[-100.0, -100.0]",19.99999995877693
2,1,6,DE/rand/1/bin,"[-2.722433943007881e-16, 1.307585105286408e-16]",4.440892098500626e-16
2,1,6,DE/best/1/bin,"[-56.99999999779223, -100.0]",19.99999829590097
2,1,6,PSO,"[8.186774579063143e-14, -1.5936872155023018e-13]",5.049294315995212e-13
2,1,7,DE/rand/1/bin,"[2.1501573076590054e-16, 5.5189732175433894e-17]",4.440892098500626e-16
2,1,7,DE/best/1/bin,"[-4.974497719661347, -0.9949203755586556]",10.25797437214942
